Title,Authors,HTML Link,PDF Link,Abstract,Published in,Date of Publication,Page(s),Electronic ISSN,PubMed ID,DOI,DOI Link,Publisher
A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,Chi Yang; Jinjun Chen; ; ,https://ieeexplore.ieee.org/document/7412709/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7412709,"Big sensing data is prevalent in both industry and scientific research applications where the data is generated with high volume and velocity. Cloud computing provides a promising platform for big sensing data processing and storage as it provides a flexible stack of massive computing, storage, and software services in a scalable manner. Current big sensing data processing on Cloud have adopted some data compression techniques. However, due to the high volume and velocity of big sensing data, traditional data compression techniques lack sufficient efficiency and scalability for data processing. Based on specific on-Cloud data compression requirements, we propose a novel scalable data compression approach based on calculating similarity among the partitioned data chunks. Instead of compressing basic data units, the compression will be conducted over partitioned data chunks. To restore original data sets, some restoration functions and predictions will be designed. MapReduce is used for algorithm implementation to achieve extra scalability on Cloud. With real world meteorological big sensing data experiments on U-Cloud platform, we demonstrate that the proposed scalable compression approach based on data chunk similarity can significantly improve data compression efficiency with affordable data accuracy loss.",IEEE Transactions on Knowledge and Data Engineering,18 February 2016,1144 - 1157,,,10.1109/TKDE.2016.2531684,https://doi.org/10.1109/TKDE.2016.2531684,IEEE
Data-Enabled Digestive Medicine: A New Big Data Analytics Platform,Lu Yan; Weihong Huang; Liming Wang; Song Feng; Yonghong Peng; Jie Peng; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8892618/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8892618,"This paper presents a big data analystics platform for clinical research and practice in the Gastroenterology Department of Xiangya Hospital at Central South University in China. This platform features a comprehensive and systematic support of big data in digestive medicine including geneneral health management, clinical gastroenterology practice, and related genomics research, which is proven to be helpful in real world clinical practices. A typical use case of integrated analysis based on electronic medical records and colonoscopy data was presented and discussed, the analaystic report on risk factors of colorectal diseases shows a reasonable recommendation about the age when people should start to screen the colorectal cancer, which could be very useful to individual and group health management for the general population in China.",IEEE/ACM Transactions on Computational Biology and Bioinformatics,06 November 2019,922 - 931,,31714231,10.1109/TCBB.2019.2951555,https://doi.org/10.1109/TCBB.2019.2951555,IEEE
ATCS: Auto-Tuning Configurations of Big Data Frameworks Based on Generative Adversarial Nets,Mingyu Li; Zhiqiang Liu; Xuanhua Shi; Hai Jin; ; ; ; ,https://ieeexplore.ieee.org/document/9031432/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9031432,"Big data processing frameworks (e.g., Spark, Storm) have been extensively used for massive data processing in the industry. To improve the performance and robustness of these frameworks, developers provide users with highly-configurable parameters. Due to the high-dimensional parameter space and complicated interactions of parameters, manual tuning of parameters is time-consuming and ineffective. Building performance-predicting models for big data frameworks is challenging for several reasons: (1) the significant time required to collect training data and (2) the poor accuracy of the prediction model when training data are limited. To meet this challenge, we proposes an auto-tuning configuration parameters system (ATCS), a new auto-tuning approach based on Generative Adversarial Nets (GAN). ATCS can build a performance prediction model with less training data and without sacrificing model accuracy. Moreover, an optimized Genetic Algorithm (GA) is used in ATCS to explore the parameter space for optimum solutions. To prove the effectiveness of ATCS, we select five frequently-used workloads in Spark, each of which runs on five different sized data sets. The results demonstrate that ATCS improves the performance of five frequently-used Spark workloads compared to the default configurations. We achieved a performance increase of 3.5× on average, with a maximum of 6.9×. To obtain similar model accuracy, experiment results also demonstrate that the quantity of ATCS training data is only 6% of Deep Neural Network (DNN) data, 13% of Support Vector Machine (SVM) data, 18% of Decision Tree (DT) data. Moreover, compared to other machine learning models, the average performance increase of ATCS is 1.7× that of DNN, 1.6× that of SVM, 1.7× that of DT on the five typical Spark programs.",IEEE Access,10 March 2020,50485 - 50496,2169-3536,,10.1109/ACCESS.2020.2979812,https://doi.org/10.1109/ACCESS.2020.2979812,IEEE
Social Set Analysis: A Set Theoretical Approach to Big Data Analytics,Ravi Vatrapu; Raghava Rao Mukkamala; Abid Hussain; Benjamin Flesch; ; ; ; ,https://ieeexplore.ieee.org/document/7462188/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7462188,"Current analytical approaches in computational social science can be characterized by four dominant paradigms: text analysis (information extraction and classification), social network analysis (graph theory), social complexity analysis (complex systems science), and social simulations (cellular automata and agent-based modeling). However, when it comes to organizational and societal units of analysis, there exists no approach to conceptualize, model, analyze, explain, and predict social media interactions as individuals' associations with ideas, values, identities, and so on. To address this limitation, based on the sociology of associations and the mathematics of set theory, this paper presents a new approach to big data analytics called social set analysis. Social set analysis consists of a generative framework for the philosophies of computational social science, theory of social data, conceptual and formal models of social data, and an analytical framework for combining big social data sets with organizational and societal data sets. Three empirical studies of big social data are presented to illustrate and demonstrate social set analysis in terms of fuzzy set-theoretical sentiment analysis, crisp set-theoretical interaction analysis, and event-studies-oriented set-theoretical visualizations. Implications for big data analytics, current limitations of the set-theoretical approach, and future directions are outlined.",IEEE Access,28 April 2016,2542 - 2571,2169-3536,,10.1109/ACCESS.2016.2559584,https://doi.org/10.1109/ACCESS.2016.2559584,IEEE
MRMondrian: Scalable Multidimensional Anonymisation for Big Data Privacy Preservation,Xuyun Zhang; Lianyong Qi; Wanchun Dou; Qiang He; Christopher Leckie; Ramamohanarao Kotagiri; Zoran Salcic; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8240631/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8240631,"Scalable data processing platforms built on cloud computing becomes increasingly attractive as infrastructure for supporting big data applications. But privacy concerns are one of the major obstacles to making use of public cloud platforms. Multidimensional anonymisation, a global-recoding generalisation scheme for privacy-preserving data publishing, has been a recent focus due to its capability of balancing data obfuscation and usability. Existing multidimensional anonymisation methods suffer from scalability problems when handling big data due to the impractical serial I/O cost. Given the recursive feature of multidimensional anonymisation, parallelisation is an ideal solution to scalability issues. However, it is still a challenge to use existing distributed and parallel paradigms directly for recursive computation. In this paper, we propose a scalable approach for big data multidimensional anonymisation based on MapReduce, a state-of-the-art data processing paradigm. Our basic idea is to partition a data set recursively into smaller partitions using MapReduce until all partitions can fit in the memory of a computing node. A tree indexing structure is proposed to achieve recursive computation. Moreover, we show the applicability of our approach to differential privacy. Experimental results on real-life data demonstrate that our approach can significantly improve the scalability of multidimensional anonymisation over existing methods.",IEEE Transactions on Big Data,27 December 2017,125 - 139,,,10.1109/TBDATA.2017.2787661,https://doi.org/10.1109/TBDATA.2017.2787661,IEEE
Critical Success Factors for Big Data: A Systematic Literature Review,Zaher Ali Al-Sai; Rosni Abdullah; Mohd Heikal Husin; ; ; ,https://ieeexplore.ieee.org/document/9127414/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9127414,"During the last few decades, many organizations have started recognizing the benefits of Big Data (BD) to drive their digital transformation and to gain faster insights from faster data. Making smart data-driven decisions will help the organizations to ride the waves toward invaluable investments. The successful implementation of Big Data projects depends on their alignment with the current organizational, technological, and analytical aspects. Identifying the Critical Success Factors (CSFs) for Big Data is fundamental to overcome the challenges surrounding Big Data Analytics (BDA) and implementation. In recent years, the investigations related to identifying the CSFs of Big Data and Big Data Analytics expanded on a large scale trying to address the limitations in existing publications and contribute to the body of knowledge. This paper aims to provide more understanding about the existing CSFs for Big Data Analytics and implementation and contributes to the body of knowledge by answering three research questions: 1) How many studies have investigated on Big Data CSFs for analytics and implementation?, 2) What are the existing CSFs for Big Data Analytics, and 3) What are the categories of Big Data Analytics CSFs?. By conducting a Systematic Literature Review (SLR) for the available studies related to Big Data CSFs in the last twelve years (2007-2019), a final list of sixteen (16) related articles was extracted and analyzed to identify the Big Data Analytics CSFs and their categories. Based on the descriptive qualitative content analysis method for the selected literature, this SLR paper identifies 74 CSFs for Big Data and proposes a classification schema and framework in terms of 5 categories, namely Organization, Technology, People, Data Management, and Governance. The findings of this paper could be used as a referential framework for a successful strategy and implementation of Big Data by formulating more effective data-driven decisions. Future work will investig...",IEEE Access,29 June 2020,118940 - 118956,2169-3536,,10.1109/ACCESS.2020.3005461,https://doi.org/10.1109/ACCESS.2020.3005461,IEEE
Identity-Based Dynamic Data Auditing for Big Data Storage,Tao Shang; Feng Zhang; Xingyue Chen; Jianwei Liu; Xinxi Lu; ; ; ; ; ,https://ieeexplore.ieee.org/document/8839836/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8839836,"Identity-based remote data auditing schemes can verify data integrity and provide a simple identity authentication and management for multiple users. However, prior works on identity-based remote data auditing lack the support of dynamic operations. In these schemes, tag generation is linked to the index of data block, which is related to update operations such as modification, insertion and deletion. If users perform dynamic operations on a data block, the tags of all subsequent blocks need to be modified. It means that if users want to update data on a big data platform, they have to download the whole file, update the file and send the updated file to the big data platform. Such pattern will bring huge communication overhead. In this paper, we propose an identity-based dynamic data auditing scheme which supports dynamic data operations, including modification, insertion and deletion. As far as we know, there is still no other identity-based data auditing scheme that supports dynamic operations. In particular, to achieve efficient dynamic operations, we use the data structure of Merkle hash tree for block tag authentication, which helps update data with integrity assurance. Analyses of security and performance show that the proposed scheme is efficient and secure.",IEEE Transactions on Big Data,16 September 2019,913 - 921,,,10.1109/TBDATA.2019.2941882,https://doi.org/10.1109/TBDATA.2019.2941882,IEEE
Approximate Clustering Ensemble Method for Big Data,Mohammad Sultan Mahmud; Joshua Zhexue Huang; Rukhsana Ruby; Alladoumbaye Ngueilbaye; Kaishun Wu; ; ; ; ; ,https://ieeexplore.ieee.org/document/10066202/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10066202,"Clustering a big distributed dataset of hundred gigabytes or more is a challenging task in distributed computing. A popular method to tackle this problem is to use a random sample of the big dataset to compute an approximate result as an estimation of the true result computed from the entire dataset. In this paper, instead of using a single random sample, we use multiple random samples to compute an ensemble result as the estimation of the true result of the big dataset. We propose a distributed computing framework to compute the ensemble result. In this framework, a big dataset is represented in the RSP data model as random sample data blocks managed in a distributed file system. To compute the ensemble clustering result, a set of RSP data blocks is randomly selected as random samples and clustered independently in parallel on the nodes of a cluster to generate the component clustering results. The component results are transferred to the master node, which computes the ensemble result. Since the random samples are disjoint and traditional consensus functions cannot be used, we propose two new methods to integrate the component clustering results into the final ensemble result. The first method uses component cluster centers to build a graph and the METIS algorithm to cut the graph into subgraphs, from which a set of candidate cluster centers is found. A hierarchical clustering method is then used to generate the final set of
k
cluster centers. The second method uses the clustering-by-passing-messages method to generate the final set of
k
cluster centers. Finally, the
k
-means algorithm was used to allocate the entire dataset into
k
clusters. Experiments were conducted on both synthetic and real-world datasets. The results show that the new ensemble clustering methods performed better than the comparison methods and that the distributed computing framework is efficient and scalable in clustering big datasets.",IEEE Transactions on Big Data,10 March 2023,1142 - 1155,,,10.1109/TBDATA.2023.3255003,https://doi.org/10.1109/TBDATA.2023.3255003,IEEE
Quality Anomaly Detection Using Predictive Techniques: An Extensive Big Data Quality Framework for Reliable Data Analysis,Elouataoui Widad; Elmendili Saida; Youssef Gahi; ; ; ,https://ieeexplore.ieee.org/document/10256169/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10256169,"The increasing reliance on Big Data analytics has highlighted the critical role of data quality in ensuring accurate and reliable results. Consequently, organizations aiming to leverage the power of Big Data recognize the crucial role of data quality as an integral component. One notable type of data quality anomaly observed in big datasets is the presence of outlier values. Detecting and addressing these outliers have become a subject of interest across diverse domains, leading to the development of numerous anomaly detection approaches. Although anomaly detection has witnessed a proliferation of practices in recent years, a significant gap remains in addressing anomalies related to the other aspects of data quality. Indeed, while most approaches focus on identifying anomalies that deviate from the expected patterns, they do not consider irregularities in data quality, such as missing, incorrect, or inconsistent data. Moreover, most of approaches are domain-correlated and lack the capability to detect anomalies in a generic manner. Thus, we aim through this paper to address this gap in the field and provide a holistic and effective solution for Big Data quality anomaly detection. To achieve this, we suggest a novel approach that allows a comprehensive detection of Big Data quality anomalies related to six quality dimensions: Accuracy, Consistency, Completeness, Conformity, Uniqueness, and Readability. Moreover, the framework allows for sophisticated detection of generic data quality anomalies through the implementation of an intelligent anomaly detection model without any correlation to a specific field. Furthermore, we introduce and measure a new metric called “Quality Anomaly Score,” which refers to the degree of anomalousness of the quality anomalies of each quality dimension and the entire dataset. Through the implementation and evaluation of our framework, the suggested framework has achieved an accuracy score of up to 99.91% and an F1-score of 98.07%.",IEEE Access,20 September 2023,103306 - 103318,2169-3536,,10.1109/ACCESS.2023.3317354,https://doi.org/10.1109/ACCESS.2023.3317354,IEEE
Toward Scalable Systems for Big Data Analytics: A Technology Tutorial,Han Hu; Yonggang Wen; Tat-Seng Chua; Xuelong Li; ; ; ; ,https://ieeexplore.ieee.org/document/6842585/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6842585,"Recent technological advancements have led to a deluge of data from distinctive domains (e.g., health care and scientific sensors, user-generated data, Internet and financial companies, and supply chain systems) over the past two decades. The term big data was coined to capture the meaning of this emerging trend. In addition to its sheer volume, big data also exhibits other unique characteristics as compared with traditional data. For instance, big data is commonly unstructured and require more real-time analysis. This development calls for new system architectures for data acquisition, transmission, storage, and large-scale data processing mechanisms. In this paper, we present a literature survey and system tutorial for big data analytics platforms, aiming to provide an overall picture for nonexpert readers and instill a do-it-yourself spirit for advanced audiences to customize their own big-data solutions. First, we present the definition of big data and discuss big data challenges. Next, we present a systematic framework to decompose big data systems into four sequential modules, namely data generation, data acquisition, data storage, and data analytics. These four modules form a big data value chain. Following that, we present a detailed survey of numerous approaches and mechanisms from research and industry communities. In addition, we present the prevalent Hadoop framework for addressing big data challenges. Finally, we outline several evaluation benchmarks and potential research directions for big data systems.",IEEE Access,24 June 2014,652 - 687,2169-3536,,10.1109/ACCESS.2014.2332453,https://doi.org/10.1109/ACCESS.2014.2332453,IEEE
Mobile Big Data: The Fuel for Data-Driven Wireless,Xiang Cheng; Luoyang Fang; Liuqing Yang; Shuguang Cui; ; ; ; ,https://ieeexplore.ieee.org/document/7945539/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7945539,"In the past decade, the smart phone evolution has accelerated the proliferation of the mobile Internet and spurred a new wave of mobile applications, leading to an unprecedented mobile data volume generated from the mobile devices, content servers, and network operators, which are mainly nonstructured. In this big data era, such nonstructured data fragments are pieced together such that, drastically differing from the traditional practice where services determine and define the data, data is becoming a proactive entity that may drive and even create new services. Compared with the so-termed 5V characteristics of generic big data, namely volume, variety, velocity, veracity, and value, mobile big data is distinct in its unique multidimensional, personalized, multisensory, and real-time features. In this survey, we provide in-depth and comprehensive coverage on the features, sources and applications of mobile big data, as well as the current state-of-the-art, challenges and opportunities for research and development in this field, with an emphasis on the user modeling, infrastructure supporting, data management, and knowledge discovery aspects.",IEEE Internet of Things Journal,09 June 2017,1489 - 1516,,,10.1109/JIOT.2017.2714189,https://doi.org/10.1109/JIOT.2017.2714189,IEEE
Big Data-Based Improved Data Acquisition and Storage System for Designing Industrial Data Platform,Daoqu Geng; Chengyun Zhang; Chengjing Xia; Xue Xia; Qilin Liu; Xinshuai Fu; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8681030/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8681030,"Big data-based acquisition and storage system (ASS) plays an important role in the design of industrial data platform. Many big data frameworks have been integrated compression and serialization method. These methods cannot meet the needs of industrial production information management for requiring time-consuming and mass storage. Based on the existing big data frameworks, we propose an enhanced industrial big data platform in order to reduce the data processing time while requiring fewer data storage space. Specifically, this paper focuses on evaluating the impact of multiple compression and serialization methods on big data platform performance and tries to choose optimal compression and serialization methods for the industrial data platform. Compared to the methods integrated in Hadoop and Spark, the experimental results showed the data compression time of the platform has been reduced by 73.9% with a less than 96% the size of data compressed, furthermore, the data serialization time has been reduced by 80.8%. With the increasing amount of data, it takes less time to compare with benchmark methods.",IEEE Access,03 April 2019,44574 - 44582,2169-3536,,10.1109/ACCESS.2019.2909060,https://doi.org/10.1109/ACCESS.2019.2909060,IEEE
A Survey of Big Data Analytics for Smart Forestry,Weitao Zou; Weipeng Jing; Guangsheng Chen; Yang Lu; Houbing Song; ; ; ; ; ,https://ieeexplore.ieee.org/document/8675907/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8675907,"Accurate and reliable forestry data can be obtained by means of continuous monitoring of forests using advanced technologies, which provides a major opportunity for the development of smart forestry. However, with the improvement of the precision and acquisition speed of data, the traditional data analysis, and storage technology cannot meet the performance requirements of current applications. Forestry big data has brought a new solution to the difficulties encountered in the course of forestry development, which refers to the application of big data technology to forestry data processing. In this paper, we summarize the research and work of the big data in smart forestry in recent years. First, we review the history of the emergence and development of forestry big data, and then briefly summarize the opportunities brought to the forestry by big data technology. One of the most important tasks of forestry big data is to organize the massive data reasonably and effectively and to calculate fast. Therefore, we propose a five-layer architecture model of forestry big data and summarize the related work of data storage, query, analysis, and application. Finally, the challenges of forestry big data are analyzed, and the trend of future development has prospected from three aspects.",IEEE Access,28 March 2019,46621 - 46636,2169-3536,,10.1109/ACCESS.2019.2907999,https://doi.org/10.1109/ACCESS.2019.2907999,IEEE
Resting-State fMRI Functional Connectivity: Big Data Preprocessing Pipelines and Topological Data Analysis,Angkoon Phinyomark; Esther Ibáñez-Marcelo; Giovanni Petri; ; ; ,https://ieeexplore.ieee.org/document/8052510/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8052510,"Resting state functional magnetic resonance imaging (rfMRI) can be used to measure functional connectivity and then identify brain networks and related brain disorders and diseases. To explore these complex networks, however, huge amounts of data are necessary. Recent advances in neuroimaging technologies, and the unique methodological approach of rfMRI, have enabled us to an era of Biomedical Big Data. The recent progress of big data sharing projects with their challenges are discussed. This increasing amount of neuroimaging data has greatly increased the importance of developing preprocessing pipelines and advanced analytic techniques, which are better at handling large-scale datasets. Before applying any analysis method on rfMRI data, several preprocessing steps need to be applied to reduce all unwanted effects. Three alternative ways to get access to big preprocessed rfMRI data are presented involving the minimal preprocessing pipelines. There are several commonly used methods to examine functional connectivity. However, they become limited in the analysis of big data, and a new tool to explore such data is necessary. We propose a number of novel methods rooted in algebraic topology and collectively referred to as Topological Data Analysis to rfMRI functional connectivity. Their properties for big data analysis are also discussed.",IEEE Transactions on Big Data,28 September 2017,415 - 428,,,10.1109/TBDATA.2017.2734883,https://doi.org/10.1109/TBDATA.2017.2734883,IEEE
An Integrated Methodology for Big Data Classification and Security for Improving Cloud Systems Data Mobility,Ismail Hababeh; Ammar Gharaibeh; Samer Nofal; Issa Khalil; ; ; ; ,https://ieeexplore.ieee.org/document/8594554/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8594554,"The expand trend of cloud data mobility led to malicious data threats that necessitate using data protection techniques. Most cloud system applications contain valuable and confidential data, such as personal, trade, or health information. Threats on such data may put the cloud systems that hold these data at high risk. However, traditional security solutions are not capable of handling the security of big data mobility. The current security mechanisms are insufficient for big data due to their shortage of determining the data that should be protected or due to their intractable time complexity. Therefore, the demand for securing mobile big data has been increasing rapidly to avoid any potential risks. This paper proposes an integrated methodology to classify and secure big data before executing data mobility, duplication, and analysis. The necessity of securing big data mobility is determined by classifying the data according to the risk impact level of their contents into two categories; confidential and public. Based on the classification category, the impact of data security is studied and substantiated on the confidential data in the scope of Hadoop Distributed File System. It is revealed that the proposed approach can significantly improve the cloud systems data mobility.",IEEE Access,28 December 2018,9153 - 9163,2169-3536,,10.1109/ACCESS.2018.2890099,https://doi.org/10.1109/ACCESS.2018.2890099,IEEE
A survey of data partitioning and sampling methods to support big data analysis,,https://ieeexplore.ieee.org/document/9007871/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9007871,"Computer clusters with the shared-nothing architecture are the major computing platforms for big data processing and analysis. In cluster computing, data partitioning and sampling are two fundamental strategies to speed up the computation of big data and increase scalability. In this paper, we present a comprehensive survey of the methods and techniques of data partitioning and sampling with respect to big data processing and analysis. We start with an overview of the mainstream big data frameworks on Hadoop clusters. The basic methods of data partitioning are then discussed including three classical horizontal partitioning schemes: range, hash, and random partitioning. Data partitioning on Hadoop clusters is also discussed with a summary of new strategies for big data partitioning, including the new Random Sample Partition (RSP) distributed model. The classical methods of data sampling are then investigated, including simple random sampling, stratified sampling, and reservoir sampling. Two common methods of big data sampling on computing clusters are also discussed: record-level sampling and block-level sampling. Record-level sampling is not as efficient as block-level sampling on big distributed data. On the other hand, block-level sampling on data blocks generated with the classical data partitioning methods does not necessarily produce good representative samples for approximate computing of big data. In this survey, we also summarize the prevailing strategies and related work on sampling-based approximation on Hadoop clusters. We believe that data partitioning and sampling should be considered together to build approximate cluster computing frameworks that are reliable in both the computational and statistical respects.",Big Data Mining and Analytics,27 February 2020,85 - 101,,,10.26599/BDMA.2019.9020015,https://doi.org/10.26599/BDMA.2019.9020015,TUP
"Next-Generation Big Data Analytics: State of the Art, Challenges, and Future Research Topics",Zhihan Lv; Houbing Song; Pablo Basanta-Val; Anthony Steed; Minho Jo; ; ; ; ; ,https://ieeexplore.ieee.org/document/7866003/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7866003,"The term big data occurs more frequently now than ever before. A large number of fields and subjects, ranging from everyday life to traditional research fields (i.e., geography and transportation, biology and chemistry, medicine and rehabilitation), involve big data problems. The popularizing of various types of network has diversified types, issues, and solutions for big data more than ever before. In this paper, we review recent research in data types, storage models, privacy, data security, analysis methods, and applications related to network big data. Finally, we summarize the challenges and development of big data to predict current and future trends.",IEEE Transactions on Industrial Informatics,27 February 2017,1891 - 1899,,,10.1109/TII.2017.2650204,https://doi.org/10.1109/TII.2017.2650204,IEEE
Elevating Big Data Privacy: Innovative Strategies and Challenges in Data Abundance,Mohamed Elkawkagy; E. Elwan; Albandari Alsumayt; Heba Elbeh; Sumayh S. Aljameel; ; ; ; ; ,https://ieeexplore.ieee.org/document/10413360/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10413360,"The exponential growth of big data has ushered in transformative possibilities across various sectors, but it has also raised formidable privacy concerns. This article delves into the pressing need for enhancing big data privacy and explores innovative approaches to address this critical issue. In recent years, big data has been characterized by its immense volume, high velocity, and diverse data sources. These attributes have enabled organizations to gain unprecedented insights but have also exposed sensitive information to potential breaches. As such, ensuring the privacy of individuals and sensitive data within big data sets has emerged as a paramount concern. This article first elucidates the multifaceted nature of big data privacy, emphasizing its encompassment of privacy, confidentiality, integrity, and availability. It also acknowledges the challenges posed by existing privacy-preserving techniques, which often fall short of providing comprehensive protection for large and diverse data sets. The core focus of this article lies in presenting novel strategies and technologies designed to improve big data privacy. This article presents an innovative framework that combines advanced encryption methods, including fine-grained encryption techniques and differential privacy mechanisms specifically designed for the distinct traits of big data, like noisy techniques. To achieve this, the dataset undergoes categorization into key attributes, sensitive attributes, quasi attributes, and insensitive attributes. Subsequently, the fine-grained technique encrypts key and sensitive attributes, while the differential privacy mechanism encrypts the quasi attributes. To further substantiate the effectiveness of the proposed technique, this article references to empirical findings that demonstrate tangible improvements in big data privacy protection.",IEEE Access,24 January 2024,20931 - 20941,2169-3536,,10.1109/ACCESS.2024.3357943,https://doi.org/10.1109/ACCESS.2024.3357943,IEEE
"A Survey on Spatio-Temporal Big Data Analytics Ecosystem: Resource Management, Processing Platform, and Applications",Huanghuang Liang; Zheng Zhang; Chuang Hu; Yili Gong; Dazhao Cheng; ; ; ; ; ,https://ieeexplore.ieee.org/document/10356753/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10356753,"With the rapid evolution of the Internet, Internet of Things (IoT), and geographic information systems (GIS), spatio-temporal Big Data (STBD) is experiencing exponential growth, marking the onset of the STBD era. Recent studies have concentrated on developing algorithms and techniques for the collection, management, storage, processing, analysis, and visualization of STBD. Researchers have made significant advancements by enhancing STBD handling techniques, creating novel systems, and integrating spatio-temporal support into existing systems. However, these studies often neglect resource management and system optimization, crucial factors for enhancing the efficiency of STBD processing and applications. Additionally, the transition of STBD to the innovative Cloud-Edge-End unified computing system needs to be noticed. In this survey, we comprehensively explore the entire ecosystem of STBD analytics systems. We delineate the STBD analytics ecosystem and categorize the technologies used to process GIS data into five modules: STBD, computation resources, processing platform, resource management, and applications. Specifically, we subdivide STBD and its applications into geoscience-oriented and human-social activity-oriented. Within the processing platform module, we further categorize it into the data management layer (DBMS-GIS), data processing layer (BigData-GIS), data analysis layer (AI-GIS), and cloud native layer (Cloud-GIS). The resource management module and each layer in the processing platform are classified into three categories: task-oriented, resource-oriented, and cloud-based. Finally, we propose research agendas for potential future developments.",IEEE Transactions on Big Data,13 December 2023,174 - 193,,,10.1109/TBDATA.2023.3342619,https://doi.org/10.1109/TBDATA.2023.3342619,IEEE
Evaluating the Quality of Social Media Data in Big Data Architecture,Anne Immonen; Pekka Pääkkönen; Eila Ovaska; ; ; ,https://ieeexplore.ieee.org/document/7299603/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7299603,"The use of freely available online data is rapidly increasing, as companies have detected the possibilities and the value of these data in their businesses. In particular, data from social media are seen as interesting as they can, when properly treated, assist in achieving customer insight into business decision making. However, the unstructured and uncertain nature of this kind of big data presents a new kind of challenge: how to evaluate the quality of data and manage the value of data within a big data architecture? This paper contributes to addressing this challenge by introducing a new architectural solution to evaluate and manage the quality of social media data in each processing phase of the big data pipeline. The proposed solution improves business decision making by providing real-time, validated data for the user. The solution is validated with an industrial case example, in which the customer insight is extracted from social media data in order to determine the customer satisfaction regarding the quality of a product.",IEEE Access,16 October 2015,2028 - 2043,2169-3536,,10.1109/ACCESS.2015.2490723,https://doi.org/10.1109/ACCESS.2015.2490723,IEEE
QuantCloud: Enabling Big Data Complex Event Processing for Quantitative Finance Through a Data-Driven Execution,Peng Zhang; Xiang Shi; Samee U. Khan; ; ; ,https://ieeexplore.ieee.org/document/8386682/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8386682,"Quantitative Finance (QF) utilizes increasingly sophisticated mathematic models and advanced computer techniques to predict the movement of global markets, and price the derivatives and other assets. Being able to react quickly and intelligently to fast-changing markets is a decisive success factor for trading companies. To date, the rise of QF requires an integrated toolchain of enabling technologies to carry out complex event processing on the explosive growth and diversified forms of market metadata, in pursuit of a microsecond latency on an Exabyte-level dataset. Inspired by this, we present a data-driven execution paradigm that untangles the dependencies of complex processing events and integrate the paradigm with a big data infrastructure that streams time series data. This integrated platform is termed as the QuantCloud platform. Essentially, QuantCloud executes the complex event processing in a data-driven mode and manages large amounts of diversified market data in a data-parallel mode. To show its practicability and performance, we develop a prototype and benchmark by applying real-world QF research models on the New York Stock Exchange (NYSE) data. Using this prototype, we demonstrate this platform with an application to: (i) data cleaning and aggregating (including the computing of logarithmic returns from tick data and the finding the medians of grouped data) and (ii) data modeling: the autoregressive-moving average (ARMA) model. The performance results show that (a) this platform obtains a high throughput (usually in the order of millions of tick messages per second) and a sub-microsecond latency; (b) it fully executes data-dependent tasks through a data-driven execution; and (c) it implements a modular design approach for rapidly developing these data-crunching methods and QF research models. This platform resulting from an aggregated effort of the data-driven execution and big data infrastructure, offers the financial engineers with new insights and ...",IEEE Transactions on Big Data,15 June 2018,564 - 575,,,10.1109/TBDATA.2018.2847629,https://doi.org/10.1109/TBDATA.2018.2847629,IEEE
